82.240677
cost = 80.278458, w= 5.657833
cost = 78.363091, w= 5.613934
cost = 76.493080, w= 5.570553
cost = 74.667938, w= 5.527699
cost = 72.886215, w= 5.485355
cost = 71.147438, w= 5.443531
cost = 69.449898, w= 5.402203
cost = 67.793167, w= 5.361378
cost = 66.176186, w= 5.321049
cost = 64.597359, w= 5.281193
cost = 63.056286, w= 5.241817
cost = 61.551842, w= 5.202911
cost = 60.082958, w= 5.164463
cost = 58.649548, w= 5.126488
cost = 57.249855, w= 5.088955
cost = 55.883965, w= 5.051884
cost = 54.550575, w= 5.015255
cost = 53.249104, w= 4.979069
cost = 51.978436, w= 4.943310
cost = 50.738415, w= 4.907990
cost = 49.527840, w= 4.873089
cost = 48.346169, w= 4.838608
cost = 47.192883, w= 4.804546
cost = 46.066963, w= 4.770889
cost = 44.967796, w= 4.737633
cost = 43.894905, w= 4.704777
cost = 42.847565, w= 4.672314
cost = 41.825314, w= 4.640244
cost = 40.827229, w= 4.608551
cost = 39.852997, w= 4.577240
cost = 38.902061, w= 4.546307
cost = 37.973785, w= 4.515743
cost = 37.067753, w= 4.485550
cost = 36.183334, w= 4.455719
cost = 35.320038, w= 4.426247
cost = 34.477257, w= 4.397125
cost = 33.654625, w= 4.368355
cost = 32.851570, w= 4.339928
cost = 32.067837, w= 4.311848
cost = 31.302561, w= 4.284096
cost = 30.555668, w= 4.256681
cost = 29.826618, w= 4.229597
cost = 29.114843, w= 4.202833
cost = 28.420080, w= 4.176392
cost = 27.741932, w= 4.150269
cost = 27.080084, w= 4.124464
cost = 26.433868, w= 4.098963
cost = 25.803146, w= 4.073771
cost = 25.187540, w= 4.048883
cost = 24.586550, w= 4.024292
cost = 23.999908, w= 3.999996
cost = 23.427227, w= 3.975990
cost = 22.868252, w= 3.952274
cost = 22.322643, w= 3.928844
cost = 21.789907, w= 3.905689
cost = 21.269983, w= 3.882816
cost = 20.762424, w= 3.860216
cost = 20.267010, w= 3.837889
cost = 19.783438, w= 3.815830
cost = 19.311367, w= 3.794035
cost = 18.850519, w= 3.772499
cost = 18.400763, w= 3.751226
cost = 17.961666, w= 3.730206
cost = 17.533037, w= 3.709436
cost = 17.114685, w= 3.688919
cost = 16.706274, w= 3.668646
cost = 16.307623, w= 3.648617
cost = 15.918485, w= 3.628828
cost = 15.538630, w= 3.609277
cost = 15.167874, w= 3.589962
cost = 14.805911, w= 3.570876
cost = 14.452634, w= 3.552022
cost = 14.107779, w= 3.533394
cost = 13.771078, w= 3.514985
cost = 13.442469, w= 3.496800
cost = 13.121719, w= 3.478835
cost = 12.808606, w= 3.461084
cost = 12.502954, w= 3.443546
cost = 12.204570, w= 3.426217
cost = 11.913338, w= 3.409098
cost = 11.629046, w= 3.392183
cost = 11.351542, w= 3.375472
cost = 11.080698, w= 3.358964
cost = 10.816292, w= 3.342652
cost = 10.558205, w= 3.326537
cost = 10.306264, w= 3.310615
cost = 10.060328, w= 3.294883
cost = 9.820262, w= 3.279340
cost = 9.585915, w= 3.263983
cost = 9.357156, w= 3.248810
cost = 9.133856, w= 3.233819
cost = 8.915889, w= 3.219008
cost = 8.703119, w= 3.204375
cost = 8.495450, w= 3.189919
cost = 8.292725, w= 3.175636
cost = 8.094826, w= 3.161524
cost = 7.901641, w= 3.147580
cost = 7.713086, w= 3.133805
cost = 7.529027, w= 3.120195
cost = 7.349348, w= 3.106748
cost = 7.173948, w= 3.093462
cost = 7.002733, w= 3.080334
cost = 6.835617, w= 3.067366
